"Var1","Var2","value"
"BL_cfDNA_conc","BL_cfDNA_conc",1
"C2D1_cfDNA_conc","BL_cfDNA_conc",-2
"C3D1_cfDNA_conc","BL_cfDNA_conc",-2
"C4D1_cfDNA_conc","BL_cfDNA_conc",-2
"C8D1_cfDNA_conc","BL_cfDNA_conc",-2
"BL_max_of_AFkl","BL_cfDNA_conc",-2
"C2D1_max_of_AFkl","BL_cfDNA_conc",-2
"C3D1_max_of_AFkl","BL_cfDNA_conc",-2
"C4D1_max_of_AFkl","BL_cfDNA_conc",-2
"C8D1_max_of_AFkl","BL_cfDNA_conc",-2
"BL_max_of_AF","BL_cfDNA_conc",-2
"C2D1_max_of_AF","BL_cfDNA_conc",-2
"C3D1_max_of_AF","BL_cfDNA_conc",-2
"C4D1_max_of_AF","BL_cfDNA_conc",-2
"C8D1_max_of_AF","BL_cfDNA_conc",-2
"BL_max_of_TMPMPkl","BL_cfDNA_conc",-2
"C2D1_max_of_TMPMPkl","BL_cfDNA_conc",-2
"C3D1_max_of_TMPMPkl","BL_cfDNA_conc",-2
"C4D1_max_of_TMPMPkl","BL_cfDNA_conc",-2
"C8D1_max_of_TMPMPkl","BL_cfDNA_conc",-2
"BL_max_of_TMPMP","BL_cfDNA_conc",-2
"C2D1_max_of_TMPMP","BL_cfDNA_conc",-2
"C3D1_max_of_TMPMP","BL_cfDNA_conc",-2
"C4D1_max_of_TMPMP","BL_cfDNA_conc",-2
"C8D1_max_of_TMPMP","BL_cfDNA_conc",-2
"BL_mean_of_AFkl","BL_cfDNA_conc",-2
"C2D1_mean_of_AFkl","BL_cfDNA_conc",-2
"C3D1_mean_of_AFkl","BL_cfDNA_conc",-2
"C4D1_mean_of_AFkl","BL_cfDNA_conc",-2
"C8D1_mean_of_AFkl","BL_cfDNA_conc",-2
"BL_mean_of_AF","BL_cfDNA_conc",-2
"C2D1_mean_of_AF","BL_cfDNA_conc",-2
"C3D1_mean_of_AF","BL_cfDNA_conc",-2
"C4D1_mean_of_AF","BL_cfDNA_conc",-2
"C8D1_mean_of_AF","BL_cfDNA_conc",-2
"BL_mean_of_TMPMPkl","BL_cfDNA_conc",-2
"C2D1_mean_of_TMPMPkl","BL_cfDNA_conc",-2
"C3D1_mean_of_TMPMPkl","BL_cfDNA_conc",-2
"C4D1_mean_of_TMPMPkl","BL_cfDNA_conc",-2
"C8D1_mean_of_TMPMPkl","BL_cfDNA_conc",-2
"BL_mean_of_TMPMP","BL_cfDNA_conc",-2
"C2D1_mean_of_TMPMP","BL_cfDNA_conc",-2
"C3D1_mean_of_TMPMP","BL_cfDNA_conc",-2
"C4D1_mean_of_TMPMP","BL_cfDNA_conc",-2
"C8D1_mean_of_TMPMP","BL_cfDNA_conc",-2
"BL_median_of_AFkl","BL_cfDNA_conc",-2
"C2D1_median_of_AFkl","BL_cfDNA_conc",-2
"C3D1_median_of_AFkl","BL_cfDNA_conc",-2
"C4D1_median_of_AFkl","BL_cfDNA_conc",-2
"C8D1_median_of_AFkl","BL_cfDNA_conc",-2
"BL_median_of_AF","BL_cfDNA_conc",-2
"C2D1_median_of_AF","BL_cfDNA_conc",-2
"C3D1_median_of_AF","BL_cfDNA_conc",-2
"C4D1_median_of_AF","BL_cfDNA_conc",-2
"C8D1_median_of_AF","BL_cfDNA_conc",-2
"BL_median_of_TMPMPkl","BL_cfDNA_conc",-2
"C2D1_median_of_TMPMPkl","BL_cfDNA_conc",-2
"C3D1_median_of_TMPMPkl","BL_cfDNA_conc",-2
"C4D1_median_of_TMPMPkl","BL_cfDNA_conc",-2
"C8D1_median_of_TMPMPkl","BL_cfDNA_conc",-2
"BL_median_of_TMPMP","BL_cfDNA_conc",-2
"C2D1_median_of_TMPMP","BL_cfDNA_conc",-2
"C3D1_median_of_TMPMP","BL_cfDNA_conc",-2
"C4D1_median_of_TMPMP","BL_cfDNA_conc",-2
"C8D1_median_of_TMPMP","BL_cfDNA_conc",-2
"BL_n_kl","BL_cfDNA_conc",-2
"C2D1_n_kl","BL_cfDNA_conc",-2
"C3D1_n_kl","BL_cfDNA_conc",-2
"C4D1_n_kl","BL_cfDNA_conc",-2
"C8D1_n_kl","BL_cfDNA_conc",-2
"BL_nNorm","BL_cfDNA_conc",-2
"C2D1_nNorm","BL_cfDNA_conc",-2
"C3D1_nNorm","BL_cfDNA_conc",-2
"C4D1_nNorm","BL_cfDNA_conc",-2
"C8D1_nNorm","BL_cfDNA_conc",-2
"BL_n","BL_cfDNA_conc",-2
"C2D1_n","BL_cfDNA_conc",-2
"C3D1_n","BL_cfDNA_conc",-2
"C4D1_n","BL_cfDNA_conc",-2
"C8D1_n","BL_cfDNA_conc",-2
"BL_cfDNA_conc","C2D1_cfDNA_conc",0.355121268347031
"C2D1_cfDNA_conc","C2D1_cfDNA_conc",1
"C3D1_cfDNA_conc","C2D1_cfDNA_conc",-2
"C4D1_cfDNA_conc","C2D1_cfDNA_conc",-2
"C8D1_cfDNA_conc","C2D1_cfDNA_conc",-2
"BL_max_of_AFkl","C2D1_cfDNA_conc",-2
"C2D1_max_of_AFkl","C2D1_cfDNA_conc",-2
"C3D1_max_of_AFkl","C2D1_cfDNA_conc",-2
"C4D1_max_of_AFkl","C2D1_cfDNA_conc",-2
"C8D1_max_of_AFkl","C2D1_cfDNA_conc",-2
"BL_max_of_AF","C2D1_cfDNA_conc",-2
"C2D1_max_of_AF","C2D1_cfDNA_conc",-2
"C3D1_max_of_AF","C2D1_cfDNA_conc",-2
"C4D1_max_of_AF","C2D1_cfDNA_conc",-2
"C8D1_max_of_AF","C2D1_cfDNA_conc",-2
"BL_max_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C2D1_max_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C3D1_max_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C4D1_max_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C8D1_max_of_TMPMPkl","C2D1_cfDNA_conc",-2
"BL_max_of_TMPMP","C2D1_cfDNA_conc",-2
"C2D1_max_of_TMPMP","C2D1_cfDNA_conc",-2
"C3D1_max_of_TMPMP","C2D1_cfDNA_conc",-2
"C4D1_max_of_TMPMP","C2D1_cfDNA_conc",-2
"C8D1_max_of_TMPMP","C2D1_cfDNA_conc",-2
"BL_mean_of_AFkl","C2D1_cfDNA_conc",-2
"C2D1_mean_of_AFkl","C2D1_cfDNA_conc",-2
"C3D1_mean_of_AFkl","C2D1_cfDNA_conc",-2
"C4D1_mean_of_AFkl","C2D1_cfDNA_conc",-2
"C8D1_mean_of_AFkl","C2D1_cfDNA_conc",-2
"BL_mean_of_AF","C2D1_cfDNA_conc",-2
"C2D1_mean_of_AF","C2D1_cfDNA_conc",-2
"C3D1_mean_of_AF","C2D1_cfDNA_conc",-2
"C4D1_mean_of_AF","C2D1_cfDNA_conc",-2
"C8D1_mean_of_AF","C2D1_cfDNA_conc",-2
"BL_mean_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMPkl","C2D1_cfDNA_conc",-2
"BL_mean_of_TMPMP","C2D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMP","C2D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMP","C2D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMP","C2D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMP","C2D1_cfDNA_conc",-2
"BL_median_of_AFkl","C2D1_cfDNA_conc",-2
"C2D1_median_of_AFkl","C2D1_cfDNA_conc",-2
"C3D1_median_of_AFkl","C2D1_cfDNA_conc",-2
"C4D1_median_of_AFkl","C2D1_cfDNA_conc",-2
"C8D1_median_of_AFkl","C2D1_cfDNA_conc",-2
"BL_median_of_AF","C2D1_cfDNA_conc",-2
"C2D1_median_of_AF","C2D1_cfDNA_conc",-2
"C3D1_median_of_AF","C2D1_cfDNA_conc",-2
"C4D1_median_of_AF","C2D1_cfDNA_conc",-2
"C8D1_median_of_AF","C2D1_cfDNA_conc",-2
"BL_median_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C2D1_median_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C3D1_median_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C4D1_median_of_TMPMPkl","C2D1_cfDNA_conc",-2
"C8D1_median_of_TMPMPkl","C2D1_cfDNA_conc",-2
"BL_median_of_TMPMP","C2D1_cfDNA_conc",-2
"C2D1_median_of_TMPMP","C2D1_cfDNA_conc",-2
"C3D1_median_of_TMPMP","C2D1_cfDNA_conc",-2
"C4D1_median_of_TMPMP","C2D1_cfDNA_conc",-2
"C8D1_median_of_TMPMP","C2D1_cfDNA_conc",-2
"BL_n_kl","C2D1_cfDNA_conc",-2
"C2D1_n_kl","C2D1_cfDNA_conc",-2
"C3D1_n_kl","C2D1_cfDNA_conc",-2
"C4D1_n_kl","C2D1_cfDNA_conc",-2
"C8D1_n_kl","C2D1_cfDNA_conc",-2
"BL_nNorm","C2D1_cfDNA_conc",-2
"C2D1_nNorm","C2D1_cfDNA_conc",-2
"C3D1_nNorm","C2D1_cfDNA_conc",-2
"C4D1_nNorm","C2D1_cfDNA_conc",-2
"C8D1_nNorm","C2D1_cfDNA_conc",-2
"BL_n","C2D1_cfDNA_conc",-2
"C2D1_n","C2D1_cfDNA_conc",-2
"C3D1_n","C2D1_cfDNA_conc",-2
"C4D1_n","C2D1_cfDNA_conc",-2
"C8D1_n","C2D1_cfDNA_conc",-2
"BL_cfDNA_conc","C3D1_cfDNA_conc",0.222221947781787
"C2D1_cfDNA_conc","C3D1_cfDNA_conc",0.576954527608391
"C3D1_cfDNA_conc","C3D1_cfDNA_conc",1
"C4D1_cfDNA_conc","C3D1_cfDNA_conc",-2
"C8D1_cfDNA_conc","C3D1_cfDNA_conc",-2
"BL_max_of_AFkl","C3D1_cfDNA_conc",-2
"C2D1_max_of_AFkl","C3D1_cfDNA_conc",-2
"C3D1_max_of_AFkl","C3D1_cfDNA_conc",-2
"C4D1_max_of_AFkl","C3D1_cfDNA_conc",-2
"C8D1_max_of_AFkl","C3D1_cfDNA_conc",-2
"BL_max_of_AF","C3D1_cfDNA_conc",-2
"C2D1_max_of_AF","C3D1_cfDNA_conc",-2
"C3D1_max_of_AF","C3D1_cfDNA_conc",-2
"C4D1_max_of_AF","C3D1_cfDNA_conc",-2
"C8D1_max_of_AF","C3D1_cfDNA_conc",-2
"BL_max_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C2D1_max_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C3D1_max_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C4D1_max_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C8D1_max_of_TMPMPkl","C3D1_cfDNA_conc",-2
"BL_max_of_TMPMP","C3D1_cfDNA_conc",-2
"C2D1_max_of_TMPMP","C3D1_cfDNA_conc",-2
"C3D1_max_of_TMPMP","C3D1_cfDNA_conc",-2
"C4D1_max_of_TMPMP","C3D1_cfDNA_conc",-2
"C8D1_max_of_TMPMP","C3D1_cfDNA_conc",-2
"BL_mean_of_AFkl","C3D1_cfDNA_conc",-2
"C2D1_mean_of_AFkl","C3D1_cfDNA_conc",-2
"C3D1_mean_of_AFkl","C3D1_cfDNA_conc",-2
"C4D1_mean_of_AFkl","C3D1_cfDNA_conc",-2
"C8D1_mean_of_AFkl","C3D1_cfDNA_conc",-2
"BL_mean_of_AF","C3D1_cfDNA_conc",-2
"C2D1_mean_of_AF","C3D1_cfDNA_conc",-2
"C3D1_mean_of_AF","C3D1_cfDNA_conc",-2
"C4D1_mean_of_AF","C3D1_cfDNA_conc",-2
"C8D1_mean_of_AF","C3D1_cfDNA_conc",-2
"BL_mean_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMPkl","C3D1_cfDNA_conc",-2
"BL_mean_of_TMPMP","C3D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMP","C3D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMP","C3D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMP","C3D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMP","C3D1_cfDNA_conc",-2
"BL_median_of_AFkl","C3D1_cfDNA_conc",-2
"C2D1_median_of_AFkl","C3D1_cfDNA_conc",-2
"C3D1_median_of_AFkl","C3D1_cfDNA_conc",-2
"C4D1_median_of_AFkl","C3D1_cfDNA_conc",-2
"C8D1_median_of_AFkl","C3D1_cfDNA_conc",-2
"BL_median_of_AF","C3D1_cfDNA_conc",-2
"C2D1_median_of_AF","C3D1_cfDNA_conc",-2
"C3D1_median_of_AF","C3D1_cfDNA_conc",-2
"C4D1_median_of_AF","C3D1_cfDNA_conc",-2
"C8D1_median_of_AF","C3D1_cfDNA_conc",-2
"BL_median_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C2D1_median_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C3D1_median_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C4D1_median_of_TMPMPkl","C3D1_cfDNA_conc",-2
"C8D1_median_of_TMPMPkl","C3D1_cfDNA_conc",-2
"BL_median_of_TMPMP","C3D1_cfDNA_conc",-2
"C2D1_median_of_TMPMP","C3D1_cfDNA_conc",-2
"C3D1_median_of_TMPMP","C3D1_cfDNA_conc",-2
"C4D1_median_of_TMPMP","C3D1_cfDNA_conc",-2
"C8D1_median_of_TMPMP","C3D1_cfDNA_conc",-2
"BL_n_kl","C3D1_cfDNA_conc",-2
"C2D1_n_kl","C3D1_cfDNA_conc",-2
"C3D1_n_kl","C3D1_cfDNA_conc",-2
"C4D1_n_kl","C3D1_cfDNA_conc",-2
"C8D1_n_kl","C3D1_cfDNA_conc",-2
"BL_nNorm","C3D1_cfDNA_conc",-2
"C2D1_nNorm","C3D1_cfDNA_conc",-2
"C3D1_nNorm","C3D1_cfDNA_conc",-2
"C4D1_nNorm","C3D1_cfDNA_conc",-2
"C8D1_nNorm","C3D1_cfDNA_conc",-2
"BL_n","C3D1_cfDNA_conc",-2
"C2D1_n","C3D1_cfDNA_conc",-2
"C3D1_n","C3D1_cfDNA_conc",-2
"C4D1_n","C3D1_cfDNA_conc",-2
"C8D1_n","C3D1_cfDNA_conc",-2
"BL_cfDNA_conc","C4D1_cfDNA_conc",0.32402963917233
"C2D1_cfDNA_conc","C4D1_cfDNA_conc",0.633285479950802
"C3D1_cfDNA_conc","C4D1_cfDNA_conc",0.774028235573121
"C4D1_cfDNA_conc","C4D1_cfDNA_conc",1
"C8D1_cfDNA_conc","C4D1_cfDNA_conc",-2
"BL_max_of_AFkl","C4D1_cfDNA_conc",-2
"C2D1_max_of_AFkl","C4D1_cfDNA_conc",-2
"C3D1_max_of_AFkl","C4D1_cfDNA_conc",-2
"C4D1_max_of_AFkl","C4D1_cfDNA_conc",-2
"C8D1_max_of_AFkl","C4D1_cfDNA_conc",-2
"BL_max_of_AF","C4D1_cfDNA_conc",-2
"C2D1_max_of_AF","C4D1_cfDNA_conc",-2
"C3D1_max_of_AF","C4D1_cfDNA_conc",-2
"C4D1_max_of_AF","C4D1_cfDNA_conc",-2
"C8D1_max_of_AF","C4D1_cfDNA_conc",-2
"BL_max_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C2D1_max_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C3D1_max_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C4D1_max_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C8D1_max_of_TMPMPkl","C4D1_cfDNA_conc",-2
"BL_max_of_TMPMP","C4D1_cfDNA_conc",-2
"C2D1_max_of_TMPMP","C4D1_cfDNA_conc",-2
"C3D1_max_of_TMPMP","C4D1_cfDNA_conc",-2
"C4D1_max_of_TMPMP","C4D1_cfDNA_conc",-2
"C8D1_max_of_TMPMP","C4D1_cfDNA_conc",-2
"BL_mean_of_AFkl","C4D1_cfDNA_conc",-2
"C2D1_mean_of_AFkl","C4D1_cfDNA_conc",-2
"C3D1_mean_of_AFkl","C4D1_cfDNA_conc",-2
"C4D1_mean_of_AFkl","C4D1_cfDNA_conc",-2
"C8D1_mean_of_AFkl","C4D1_cfDNA_conc",-2
"BL_mean_of_AF","C4D1_cfDNA_conc",-2
"C2D1_mean_of_AF","C4D1_cfDNA_conc",-2
"C3D1_mean_of_AF","C4D1_cfDNA_conc",-2
"C4D1_mean_of_AF","C4D1_cfDNA_conc",-2
"C8D1_mean_of_AF","C4D1_cfDNA_conc",-2
"BL_mean_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMPkl","C4D1_cfDNA_conc",-2
"BL_mean_of_TMPMP","C4D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMP","C4D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMP","C4D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMP","C4D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMP","C4D1_cfDNA_conc",-2
"BL_median_of_AFkl","C4D1_cfDNA_conc",-2
"C2D1_median_of_AFkl","C4D1_cfDNA_conc",-2
"C3D1_median_of_AFkl","C4D1_cfDNA_conc",-2
"C4D1_median_of_AFkl","C4D1_cfDNA_conc",-2
"C8D1_median_of_AFkl","C4D1_cfDNA_conc",-2
"BL_median_of_AF","C4D1_cfDNA_conc",-2
"C2D1_median_of_AF","C4D1_cfDNA_conc",-2
"C3D1_median_of_AF","C4D1_cfDNA_conc",-2
"C4D1_median_of_AF","C4D1_cfDNA_conc",-2
"C8D1_median_of_AF","C4D1_cfDNA_conc",-2
"BL_median_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C2D1_median_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C3D1_median_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C4D1_median_of_TMPMPkl","C4D1_cfDNA_conc",-2
"C8D1_median_of_TMPMPkl","C4D1_cfDNA_conc",-2
"BL_median_of_TMPMP","C4D1_cfDNA_conc",-2
"C2D1_median_of_TMPMP","C4D1_cfDNA_conc",-2
"C3D1_median_of_TMPMP","C4D1_cfDNA_conc",-2
"C4D1_median_of_TMPMP","C4D1_cfDNA_conc",-2
"C8D1_median_of_TMPMP","C4D1_cfDNA_conc",-2
"BL_n_kl","C4D1_cfDNA_conc",-2
"C2D1_n_kl","C4D1_cfDNA_conc",-2
"C3D1_n_kl","C4D1_cfDNA_conc",-2
"C4D1_n_kl","C4D1_cfDNA_conc",-2
"C8D1_n_kl","C4D1_cfDNA_conc",-2
"BL_nNorm","C4D1_cfDNA_conc",-2
"C2D1_nNorm","C4D1_cfDNA_conc",-2
"C3D1_nNorm","C4D1_cfDNA_conc",-2
"C4D1_nNorm","C4D1_cfDNA_conc",-2
"C8D1_nNorm","C4D1_cfDNA_conc",-2
"BL_n","C4D1_cfDNA_conc",-2
"C2D1_n","C4D1_cfDNA_conc",-2
"C3D1_n","C4D1_cfDNA_conc",-2
"C4D1_n","C4D1_cfDNA_conc",-2
"C8D1_n","C4D1_cfDNA_conc",-2
"BL_cfDNA_conc","C8D1_cfDNA_conc",0.169483103666961
"C2D1_cfDNA_conc","C8D1_cfDNA_conc",0.21315917337614
"C3D1_cfDNA_conc","C8D1_cfDNA_conc",0.308270802718293
"C4D1_cfDNA_conc","C8D1_cfDNA_conc",0.310035577762044
"C8D1_cfDNA_conc","C8D1_cfDNA_conc",1
"BL_max_of_AFkl","C8D1_cfDNA_conc",-2
"C2D1_max_of_AFkl","C8D1_cfDNA_conc",-2
"C3D1_max_of_AFkl","C8D1_cfDNA_conc",-2
"C4D1_max_of_AFkl","C8D1_cfDNA_conc",-2
"C8D1_max_of_AFkl","C8D1_cfDNA_conc",-2
"BL_max_of_AF","C8D1_cfDNA_conc",-2
"C2D1_max_of_AF","C8D1_cfDNA_conc",-2
"C3D1_max_of_AF","C8D1_cfDNA_conc",-2
"C4D1_max_of_AF","C8D1_cfDNA_conc",-2
"C8D1_max_of_AF","C8D1_cfDNA_conc",-2
"BL_max_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C2D1_max_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C3D1_max_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C4D1_max_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C8D1_max_of_TMPMPkl","C8D1_cfDNA_conc",-2
"BL_max_of_TMPMP","C8D1_cfDNA_conc",-2
"C2D1_max_of_TMPMP","C8D1_cfDNA_conc",-2
"C3D1_max_of_TMPMP","C8D1_cfDNA_conc",-2
"C4D1_max_of_TMPMP","C8D1_cfDNA_conc",-2
"C8D1_max_of_TMPMP","C8D1_cfDNA_conc",-2
"BL_mean_of_AFkl","C8D1_cfDNA_conc",-2
"C2D1_mean_of_AFkl","C8D1_cfDNA_conc",-2
"C3D1_mean_of_AFkl","C8D1_cfDNA_conc",-2
"C4D1_mean_of_AFkl","C8D1_cfDNA_conc",-2
"C8D1_mean_of_AFkl","C8D1_cfDNA_conc",-2
"BL_mean_of_AF","C8D1_cfDNA_conc",-2
"C2D1_mean_of_AF","C8D1_cfDNA_conc",-2
"C3D1_mean_of_AF","C8D1_cfDNA_conc",-2
"C4D1_mean_of_AF","C8D1_cfDNA_conc",-2
"C8D1_mean_of_AF","C8D1_cfDNA_conc",-2
"BL_mean_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMPkl","C8D1_cfDNA_conc",-2
"BL_mean_of_TMPMP","C8D1_cfDNA_conc",-2
"C2D1_mean_of_TMPMP","C8D1_cfDNA_conc",-2
"C3D1_mean_of_TMPMP","C8D1_cfDNA_conc",-2
"C4D1_mean_of_TMPMP","C8D1_cfDNA_conc",-2
"C8D1_mean_of_TMPMP","C8D1_cfDNA_conc",-2
"BL_median_of_AFkl","C8D1_cfDNA_conc",-2
"C2D1_median_of_AFkl","C8D1_cfDNA_conc",-2
"C3D1_median_of_AFkl","C8D1_cfDNA_conc",-2
"C4D1_median_of_AFkl","C8D1_cfDNA_conc",-2
"C8D1_median_of_AFkl","C8D1_cfDNA_conc",-2
"BL_median_of_AF","C8D1_cfDNA_conc",-2
"C2D1_median_of_AF","C8D1_cfDNA_conc",-2
"C3D1_median_of_AF","C8D1_cfDNA_conc",-2
"C4D1_median_of_AF","C8D1_cfDNA_conc",-2
"C8D1_median_of_AF","C8D1_cfDNA_conc",-2
"BL_median_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C2D1_median_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C3D1_median_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C4D1_median_of_TMPMPkl","C8D1_cfDNA_conc",-2
"C8D1_median_of_TMPMPkl","C8D1_cfDNA_conc",-2
"BL_median_of_TMPMP","C8D1_cfDNA_conc",-2
"C2D1_median_of_TMPMP","C8D1_cfDNA_conc",-2
"C3D1_median_of_TMPMP","C8D1_cfDNA_conc",-2
"C4D1_median_of_TMPMP","C8D1_cfDNA_conc",-2
"C8D1_median_of_TMPMP","C8D1_cfDNA_conc",-2
"BL_n_kl","C8D1_cfDNA_conc",-2
"C2D1_n_kl","C8D1_cfDNA_conc",-2
"C3D1_n_kl","C8D1_cfDNA_conc",-2
"C4D1_n_kl","C8D1_cfDNA_conc",-2
"C8D1_n_kl","C8D1_cfDNA_conc",-2
"BL_nNorm","C8D1_cfDNA_conc",-2
"C2D1_nNorm","C8D1_cfDNA_conc",-2
"C3D1_nNorm","C8D1_cfDNA_conc",-2
"C4D1_nNorm","C8D1_cfDNA_conc",-2
"C8D1_nNorm","C8D1_cfDNA_conc",-2
"BL_n","C8D1_cfDNA_conc",-2
"C2D1_n","C8D1_cfDNA_conc",-2
"C3D1_n","C8D1_cfDNA_conc",-2
"C4D1_n","C8D1_cfDNA_conc",-2
"C8D1_n","C8D1_cfDNA_conc",-2
"BL_cfDNA_conc","BL_max_of_AFkl",0.370454996824742
"C2D1_cfDNA_conc","BL_max_of_AFkl",0.0166833387533144
"C3D1_cfDNA_conc","BL_max_of_AFkl",-0.0354800774304728
"C4D1_cfDNA_conc","BL_max_of_AFkl",-0.0854768496685194
"C8D1_cfDNA_conc","BL_max_of_AFkl",0.241999245527385
"BL_max_of_AFkl","BL_max_of_AFkl",1
"C2D1_max_of_AFkl","BL_max_of_AFkl",-2
"C3D1_max_of_AFkl","BL_max_of_AFkl",-2
"C4D1_max_of_AFkl","BL_max_of_AFkl",-2
"C8D1_max_of_AFkl","BL_max_of_AFkl",-2
"BL_max_of_AF","BL_max_of_AFkl",-2
"C2D1_max_of_AF","BL_max_of_AFkl",-2
"C3D1_max_of_AF","BL_max_of_AFkl",-2
"C4D1_max_of_AF","BL_max_of_AFkl",-2
"C8D1_max_of_AF","BL_max_of_AFkl",-2
"BL_max_of_TMPMPkl","BL_max_of_AFkl",-2
"C2D1_max_of_TMPMPkl","BL_max_of_AFkl",-2
"C3D1_max_of_TMPMPkl","BL_max_of_AFkl",-2
"C4D1_max_of_TMPMPkl","BL_max_of_AFkl",-2
"C8D1_max_of_TMPMPkl","BL_max_of_AFkl",-2
"BL_max_of_TMPMP","BL_max_of_AFkl",-2
"C2D1_max_of_TMPMP","BL_max_of_AFkl",-2
"C3D1_max_of_TMPMP","BL_max_of_AFkl",-2
"C4D1_max_of_TMPMP","BL_max_of_AFkl",-2
"C8D1_max_of_TMPMP","BL_max_of_AFkl",-2
"BL_mean_of_AFkl","BL_max_of_AFkl",-2
"C2D1_mean_of_AFkl","BL_max_of_AFkl",-2
"C3D1_mean_of_AFkl","BL_max_of_AFkl",-2
"C4D1_mean_of_AFkl","BL_max_of_AFkl",-2
"C8D1_mean_of_AFkl","BL_max_of_AFkl",-2
"BL_mean_of_AF","BL_max_of_AFkl",-2
"C2D1_mean_of_AF","BL_max_of_AFkl",-2
"C3D1_mean_of_AF","BL_max_of_AFkl",-2
"C4D1_mean_of_AF","BL_max_of_AFkl",-2
"C8D1_mean_of_AF","BL_max_of_AFkl",-2
"BL_mean_of_TMPMPkl","BL_max_of_AFkl",-2
"C2D1_mean_of_TMPMPkl","BL_max_of_AFkl",-2
"C3D1_mean_of_TMPMPkl","BL_max_of_AFkl",-2
"C4D1_mean_of_TMPMPkl","BL_max_of_AFkl",-2
"C8D1_mean_of_TMPMPkl","BL_max_of_AFkl",-2
"BL_mean_of_TMPMP","BL_max_of_AFkl",-2
"C2D1_mean_of_TMPMP","BL_max_of_AFkl",-2
"C3D1_mean_of_TMPMP","BL_max_of_AFkl",-2
"C4D1_mean_of_TMPMP","BL_max_of_AFkl",-2
"C8D1_mean_of_TMPMP","BL_max_of_AFkl",-2
"BL_median_of_AFkl","BL_max_of_AFkl",-2
"C2D1_median_of_AFkl","BL_max_of_AFkl",-2
"C3D1_median_of_AFkl","BL_max_of_AFkl",-2
"C4D1_median_of_AFkl","BL_max_of_AFkl",-2
"C8D1_median_of_AFkl","BL_max_of_AFkl",-2
"BL_median_of_AF","BL_max_of_AFkl",-2
